OBJECTID,School,CountyReport,Number_of_Total_Cases,ReportDate,
1961,Patapsco High School,Baltimore,6,9/29/21,15:00:00+00
1962,Perry Hall Christian School,Baltimore,6,9/29/21,15:00:00+00
1983,Snow Hill High School,Worcester,6,9/29/21,15:00:00+00
1990,Southern Middle School,Anne Arundel,6,9/29/21,15:00:00+00
2004,The Historic Cherry Hill Elementary and Middle School,Baltimore City,6,9/29/21,15:00:00+00
2017,Worthington Elementary School,Howard,6,9/29/21,15:00:00+00
2197,Bryn Mawr School,Baltimore City,6,10/6/21,15:00:00+00
2200,Calvin M. Rodwell Elementary/Middle School,Baltimore City,6,10/6/21,15:00:00+00
2242,Hancock Middle-Senior High School,Washington,6,10/6/21,15:00:00+00
2254,Kent Island Elementary School,Queen Anne's,6,10/6/21,15:00:00+00
2292,Oakdale Middle School,Frederick,6,10/6/21,15:00:00+00
2300,Patapsco High School,Baltimore,6,10/6/21,15:00:00+00
2301,Perry Hall Christian School,Baltimore,6,10/6/21,15:00:00+00
2306,Pocomoke Elementary School,Worcester,6,10/6/21,15:00:00+00
2338,The Historic Cherry Hill Elementary and Middle School,Baltimore City,6,10/6/21,15:00:00+00
2342,Tuscarora Elementary School,Frederick,6,10/6/21,15:00:00+00
2541,Bryn Mawr School,Baltimore City,6,10/13/21,15:00:00+00
2542,Buckingham Elementary School,Worcester,6,10/13/21,15:00:00+00
2544,Calvin M. Rodwell Elementary/Middle School,Baltimore City,6,10/13/21,15:00:00+00
2546,Cardinal Shehan,Baltimore City,6,10/13/21,15:00:00+00
2554,Clear Spring High School,Washington,6,10/13/21,15:00:00+00
2588,Homestead Wakefield Elementary School,Harford,6,10/13/21,15:00:00+00
2631,Perry Hall Christian School,Baltimore,6,10/13/21,15:00:00+00
2637,Pocomoke High School,Worcester,6,10/13/21,15:00:00+00
2662,Sudersville Middle School,Queen Anne's,6,10/13/21,15:00:00+00
2669,The Historic Cherry Hill Elementary and Middle School,Baltimore City,6,10/13/21,15:00:00+00
2672,Tuscarora Elementary School,Frederick,6,10/13/21,15:00:00+00
2673,Vila Maria School,Baltimore,6,10/13/21,15:00:00+00
2702,Cardinal Shehan School,Baltimore City,6,10/20/21,15:00:00+00
2734,Hollywood Elementary School,St. Mary's,6,10/20/21,15:00:00+00
2735,Homestead Wakefield Elementary School,Harford,6,10/20/21,15:00:00+00
2777,Pocomoke High School,Worcester,6,10/20/21,15:00:00+00
2786,Silver Oak Academy,Carroll,6,10/20/21,15:00:00+00
5,Beth Tfiloh Dahan Community School,Baltimore,5,10/29/20,14:00:00+00
19,Emmanuel Lutheran School,Baltimore,5,11/5/20,15:00:00+00
54,Emmanuel Lutheran School,Baltimore,5,11/11/20,15:00:00+00
80,Woodson Elementary School,Somerset,5,11/18/20,15:00:00+00
145,Broadfording Christian Academy,Washington,5,11/25/20,15:00:00+00
154,McDonough School,Baltimore,5,11/25/20,15:00:00+00
157,Open Bible Christian Academy,Baltimore,5,11/25/20,15:00:00+00
173,Broadfording Christian Academy,Washington,5,12/2/20,15:00:00+00
180,McDonough School,Baltimore,5,12/2/20,15:00:00+00
183,Open Bible Christian Academy,Baltimore,5,12/2/20,15:00:00+00
227,Broadfording Christian Academy,Washington,5,12/9/20,15:00:00+00
232,McDonough School,Baltimore,5,12/9/20,15:00:00+00
275,Linganore High School,Frederick,5,12/16/20,15:00:00+00
289,Mount Aviat Academy,Cecil,5,12/23/20,15:00:00+00
306,Mount Aviat Academy,Cecil,5,12/30/20,15:00:00+00
323,St. Mary's High School,Anne Arundel,5,1/6/21,15:00:00+00
446,Salisbury Christian School,Wicomico,5,1/27/21,15:00:00+00
506,The Avalon School,Montgomery,5,2/3/21,15:00:00+00
520,Runnymede Elementary,Carroll,5,2/3/21,15:00:00+00
564,DeMatha Catholic High School,Prince George's,5,2/10/21,15:00:00+00
568,Runnymede Elementary,Carroll,5,2/10/21,15:00:00+00
600,Runnymede Elementary,Carroll,5,2/17/21,15:00:00+00
638,The Country School,Talbot,5,2/24/21,15:00:00+00
658,Bethel Christian Academy,Howard,5,3/3/21,15:00:00+00
699,Mechanicsville Elementary,Carroll,5,3/10/21,15:00:00+00
705,Rosedale Baptist School,Baltimore,5,3/10/21,15:00:00+00
741,Bais Yaakov Eva Winer High School,Baltimore,5,3/17/21,15:00:00+00
753,Mechanicsville Elementary,Carroll,5,3/17/21,15:00:00+00
757,Rosedale Baptist School,Baltimore,5,3/17/21,15:00:00+00
902,Governor Thomas Johnson High School,Frederick,5,3/31/21,15:00:00+00
946,Governor Thomas Johnson High School,Frederick,5,4/7/21,15:00:00+00
951,The John Carroll School,Harford,5,4/7/21,15:00:00+00
1021,Beall Elementary School,Allegany,5,4/13/21,15:00:00+00
1033,Fulton Elementary School,Howard,5,4/13/21,15:00:00+00
1053,Stephen Decatur High School,Worcester,5,4/13/21,15:00:00+00
